Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std
5009673,4,4,536,1840,536,0,134,268,1840,0,460,920,474.28245319999996,1.5969106169999998,715667.5714,1891177.4430000002,5004454,48,5219,1739.6666670000006,2216.452421,4249,49,5009544,1669848,2888460.8860000004,5005155,889,0,0,0,0,136,136,0.798455308,0.798455308,0,1840,264,617.0121555,380704,0,0,0,1,0,0,0,0,1,297,134,460,136,0,0,0,0,0,0,4,536,4,1840,29200,235,1,32,0,0,0,0,0,0
73,1,1,0,0,0,0,0,0,0,0,0,0,0,27397.26027,73,0,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,13698.630140000001,13698.630140000001,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,257,235,0,32,0,0,0,0,0,0
5007460,5,3,537,1881,537,0,107.4,240.1537008,1881,0,627,1085.995856,482.8795437,1.5976163559999998,715351.4286,1889650.06,5000673,4,5007460,1251865,2499206.662,5000673,4,5994,2997,2996.718539,5116,878,0,0,0,0,168,104,0.9985102229999999,0.599106134,0,1881,268.6666667,630.1680331,397111.75,0,0,0,1,0,0,0,0,0,302.25,107.4,627,168,0,0,0,0,0,0,5,537,3,1881,29200,235,1,32,0,0,0,0,0,0
5012479,6,4,600,4149,600,0,100,244.94897430000003,2701,0,1037.25,1302.376642,947.4353907999999,1.9950208269999998,556942.1111,1666209.939,5000160,3,5012479,1002495.8,2234766.9280000003,5000160,3,11118,3706,5627.995290999997,10187,51,0,0,0,0,200,136,1.197012496,0.7980083309999999,0,2701,431.7272727,877.6008308,770183.2182,0,0,0,1,0,0,0,0,0,474.9,100,1037.25,200,0,0,0,0,0,0,6,600,4,4149,29200,236,1,32,0,0,0,0,0,0
5005388,5,3,599,2021,599,0,119.8,267.8809437,2021,0,673.6666667000002,1166.8248939999999,523.4359454,1.598277696,715055.4286,1889547.295,5000145,4,5005388,1251347,2499199.36,5000145,4,4429,2214.5,1892.9248530000002,3553,876,0,0,0,0,168,104,0.99892356,0.599354136,0,2021,291.1111111,678.2819186,460066.3611,0,0,0,1,0,0,0,0,0,327.5,119.8,673.6666667000002,168,0,0,0,0,0,0,5,599,3,2021,29200,236,1,32,0,0,0,0,0,0
5016759,5,5,599,4149,599,0,119.8,267.8809437,2701,0,829.8,1219.5557390000001,946.4277634,1.9933187940000001,557417.6667,1667490.2030000002,5004049,4,12710,3177.5,5465.6252159999985,11356,4,5016632,1254158,2500655.185,5005134,47,0,0,0,0,168,168,0.9966593970000001,0.9966593970000001,0,2701,431.6363636,877.5817082000003,770149.6545,0,0,0,1,0,0,0,0,1,474.8,119.8,829.8,168,0,0,0,0,0,0,5,599,5,4149,29200,236,1,32,0,0,0,0,0,0
5009163,4,4,599,2021,599,0,149.75,299.5,2021,0,505.25,1010.5,523.0414741999999,1.597073204,715594.7143,1890923.4119999998,5003805,56,5358,1786,2252.0410739999998,4381,343,5009082,1669694,2888011.439,5004482,952,0,0,0,0,136,136,0.798536602,0.798536602,0,2021,291.1111111,678.2819186,460066.3611,0,0,0,1,0,0,0,0,1,327.5,149.75,505.25,136,0,0,0,0,0,0,4,599,4,2021,29200,236,1,32,0,0,0,0,0,0
73,1,1,0,0,0,0,0,0,0,0,0,0,0,27397.26027,73,0,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,13698.630140000001,13698.630140000001,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,293,236,0,32,0,0,0,0,0,0
109,1,1,0,0,0,0,0,0,0,0,0,0,0,18348.62385,109,0,109,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,9174.311926999999,9174.311926999999,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,260,236,0,32,0,0,0,0,0,0
80,1,1,0,0,0,0,0,0,0,0,0,0,0,25000,80,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,12500,12500,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,229,227,0,32,0,0,0,0,0,0
47,1,1,0,0,0,0,0,0,0,0,0,0,0,42553.19149,47,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,21276.59574,21276.59574,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,229,227,0,32,0,0,0,0,0,0
289,2,1,14,0,14,0,7,9.899494937,0,0,0,0,48442.90657,10380.62284,144.5,101.1162697,216,73,289,289,0,289,289,0,0,0,0,0,1,0,0,0,64,20,6920.415225,3460.2076119999997,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333332999999,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0
335,2,1,14,0,14,0,7,9.899494937,0,0,0,0,41791.044780000004,8955.223881,167.5,122.32947309999999,254,81,335,335,0,335,335,0,0,0,0,0,1,0,0,0,64,20,5970.149254,2985.074627,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333332999999,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0
4,2,0,14,0,14,0,7,9.899494937,0,0,0,0,3500000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,1,0,0,0,64,0,500000,0,0,14,9.333333332999999,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14,7,0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0,0,0,0,0,0
4,2,0,14,0,14,0,7,9.899494937,0,0,0,0,3500000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,1,0,0,0,64,0,500000,0,0,14,9.333333332999999,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14,7,0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0,0,0,0,0,0
245,2,1,14,0,14,0,7,9.899494937,0,0,0,0,57142.85714,12244.89796,122.5,12.02081528,131,114,245,245,0,245,245,0,0,0,0,0,1,0,0,0,64,20,8163.265306,4081.632653,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333332999999,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0
234,2,1,14,0,14,0,7,9.899494937,0,0,0,0,59829.05983,12820.51282,117,41.01219331,146,88,234,234,0,234,234,0,0,0,0,0,1,0,0,0,64,20,8547.008547,4273.504274,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333332999999,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0
9258254,9,15,111,188,27,0,12.33333333,10.23474475,34,0,12.53333333,14.54975045,32.29550626,2.592281439,402532.7826,1046675.8309999999,3229798,3,5985686,748210.75,1385340.886,3117097,246,9258132,661295.1429,1292171.835,3229798,3,0,0,0,0,296,488,0.97210554,1.6201758990000001,0,34,11.96,12.83056247,164.6233333,0,0,0,1,0,0,0,0,1,12.45833333,12.33333333,12.53333333,296,0,0,0,0,0,0,9,111,15,188,29200,227,6,32,0,0,0,0,0,0
233,2,1,14,0,14,0,7,9.899494937,0,0,0,0,60085.836910000005,12875.536479999999,116.5,43.13351365,147,86,233,233,0,233,233,0,0,0,0,0,1,0,0,0,64,20,8583.690987,4291.845494,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333332999999,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0
313,2,1,14,0,14,0,7,9.899494937,0,0,0,0,44728.4345,9584.664537,156.5,98.28784258,226,87,313,313,0,313,313,0,0,0,0,0,1,0,0,0,64,20,6389.776358,3194.888179,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333332999999,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0
8761958,9,15,109,188,26,0,12.11111111,9.980536614,34,0,12.53333333,14.54975045,33.89653317,2.739113792,380954.6957,991653.2595,3134396,4,6100823,762602.875,1411637.5659999999,3175646,48,8761837,625845.5,1224392.299,3134396,4,0,0,0,0,296,488,1.027167672,1.71194612,0,34,11.88,12.76166133,162.86,0,0,0,1,0,0,0,0,1,12.375,12.11111111,12.53333333,296,0,0,0,0,0,0,9,109,15,188,29200,227,6,32,0,0,0,0,0,0
203,2,1,14,0,14,0,7,9.899494937,0,0,0,0,68965.51724,14778.32512,101.5,113.8441918,182,21,203,203,0,203,203,0,0,0,0,0,1,0,0,0,64,20,9852.216749,4926.108374,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333332999999,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0
8868400,9,15,113,188,29,0,12.55555556,10.60791109,34,0,12.53333333,14.54975045,33.94073339,2.706237878,385582.6087,1001624.932,3129509,3,5946446,743305.75,1377793.708,3174049,228,8868286,633449,1236421.747,3129509,3,0,0,0,0,296,488,1.014839204,1.691398674,0,34,12.04,12.93406355,167.29,0,0,0,1,0,0,0,0,1,12.54166667,12.55555556,12.53333333,296,0,0,0,0,0,0,9,113,15,188,29200,227,6,32,0,0,0,0,0,0
9742971,9,15,108,188,24,0,12,9.797958971,34,0,12.53333333,14.54975045,30.38087663,2.463314322,423607.4348,1105953.69,3584216,3,6816325,852040.625,1580206.606,3626192,3,9742846,695917.5714,1365961.719,3584216,49,0,0,0,0,296,488,0.923742871,1.539571451,0,34,11.84,12.71377206,161.64,0,0,0,1,0,0,0,0,1,12.33333333,12,12.53333333,296,0,0,0,0,0,0,9,108,15,188,29200,227,6,32,0,0,0,0,0,0
9742188,9,15,108,188,23,0,12,9.682458366,34,0,12.53333333,14.54975045,30.38331841,2.463512303,423573.3913,1105491.044,3584162,3,6815260,851907.5,1580108.73,3626158,3,9742143,695867.3571,1365336.424,3584162,48,0,0,0,0,296,488,0.9238171140000001,1.53969519,0,34,11.84,12.68424219,160.89,0,0,0,1,0,0,0,0,1,12.33333333,12,12.53333333,296,0,0,0,0,0,0,9,108,15,188,29200,227,6,32,0,0,0,0,0,0
9647930,9,15,109,188,25,0,12.11111111,9.955456349,34,0,12.53333333,14.54975045,30.78380544,2.487580237,419475.2174,1095705.785,3580707,3,6025825,753228.125,1394267.8590000002,3134689,3,9647826,689130.4286,1353376.868,3580707,3,0,0,0,0,296,488,0.932842589,1.5547376480000001,0,34,11.88,12.75512969,162.6933333,0,0,0,1,0,0,0,0,1,12.375,12.11111111,12.53333333,296,0,0,0,0,0,0,9,109,15,188,29200,227,6,32,0,0,0,0,0,0
8764012,9,15,109,188,23,0,12.11111111,9.778093429,34,0,12.53333333,14.54975045,33.88858892,2.7384718319999997,381044,989943.3088,3093907,1,5869971,733746.375,1361379.7380000001,3138023,1,8763924,625994.5714,1222015.368,3093907,3,0,0,0,0,296,488,1.026926937,1.711544895,0,34,11.88,12.70931417,161.5266667,0,0,0,1,0,0,0,0,1,12.375,12.11111111,12.53333333,296,0,0,0,0,0,0,9,109,15,188,29200,227,6,32,0,0,0,0,0,0
8897840,9,15,116,188,28,0,12.88888889,10.99368506,34,0,12.53333333,14.54975045,34.16559525,2.697283835,386862.6087,997453.7026,3156629,3,6212376,776547,1417346.091,3203845,4,8897762,635554.4286,1230246.745,3156629,3,0,0,0,0,296,488,1.011481438,1.6858023969999998,0,34,12.16,13.04696644,170.2233333,0,0,0,1,0,0,0,0,1,12.66666667,12.88888889,12.53333333,296,0,0,0,0,0,0,9,116,15,188,29200,227,6,32,0,0,0,0,0,0
9785070,9,15,109,188,25,0,12.11111111,9.892477501,34,0,12.53333333,14.54975045,30.35236335,2.45271623,425437.8261,1110280.1570000001,3605116,3,6848206,856025.75,1587969.581,3649194,260,9784914,698922.4286,1371245.3180000002,3605116,3,0,0,0,0,296,488,0.9197685859999999,1.532947644,0,34,11.88,12.73878592,162.2766667,0,0,0,1,0,0,0,0,1,12.375,12.11111111,12.53333333,296,0,0,0,0,0,0,9,109,15,188,29200,227,6,32,0,0,0,0,0,0
314,2,1,14,0,14,0,7,9.899494937,0,0,0,0,44585.98726,9554.140126999999,157,94.75230868,224,90,314,314,0,314,314,0,0,0,0,0,1,0,0,0,64,20,6369.426752,3184.713376,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333332999999,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0
8211996,9,15,100,188,23,0,11.11111111,8.823894328,34,0,12.53333333,14.54975045,35.07064543,2.9225537860000004,357043.3043,924508.765,2733836,3,5491905,686488.125,1268868.564,2780816,223,8211854,586561,1140822.888,2733836,3,0,0,0,0,296,488,1.09595767,1.826596116,0,34,11.52,12.47704559,155.6766667,0,0,0,1,0,0,0,0,1,12,11.11111111,12.53333333,296,0,0,0,0,0,0,9,100,15,188,29200,227,6,32,0,0,0,0,0,0
8224921,9,15,114,188,28,0,12.66666667,10.68877916,34,0,12.53333333,14.54975045,36.7176779,2.9179611569999997,357605.2609,925352.3412,2738990,3,5498612,687326.5,1268960.3590000002,2782453,252,8224858,587489.8571,1141777.002,2738990,3,0,0,0,0,296,488,1.094235434,1.8237257230000001,0,34,12.08,12.95800911,167.91,0,0,0,1,0,0,0,0,1,12.58333333,12.66666667,12.53333333,296,0,0,0,0,0,0,9,114,15,188,29200,227,6,32,0,0,0,0,0,0
8234522,9,15,121,188,28,0,13.44444444,11.50120767,34,0,12.53333333,14.54975045,37.5249468,2.914558975,358022.6957,925967.9297,2744539,3,5513969,689246.125,1270394.557,2786404,290,8234373,588169.5,1142475.815,2744539,3,0,0,0,0,296,488,1.092959616,1.8215993590000001,0,34,12.36,13.20631162,174.4066667,0,0,0,1,0,0,0,0,1,12.875,13.44444444,12.53333333,296,0,0,0,0,0,0,9,121,15,188,29200,227,6,32,0,0,0,0,0,0
253,2,1,14,0,14,0,7,9.899494937,0,0,0,0,55335.96838,11857.70751,126.5,43.13351365,157,96,253,253,0,253,253,0,0,0,0,0,1,0,0,0,64,20,7905.13834,3952.56917,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333332999999,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0
8458307,9,15,107,188,26,0,11.88888889,9.726824308,34,0,12.53333333,14.54975045,34.87695587,2.837447257,367752.4783,954000.762,2924669,3,5678438,709804.75,1314374.769,2969349,3,8458180,604155.7143,1177456.107,2924669,3,0,0,0,0,296,488,1.064042722,1.773404536,0,34,11.8,12.69514343,161.16666669999995,0,0,0,1,0,0,0,0,1,12.29166667,11.88888889,12.53333333,296,0,0,0,0,0,0,9,107,15,188,29200,227,6,32,0,0,0,0,0,0
8803729,9,15,106,188,23,0,11.77777778,9.497075573,34,0,12.53333333,14.54975045,33.394939799999996,2.726117535,382770.8261,994139.2174,3109319,3,5907117,738389.625,1368567.05,3153569,3,8803606,628829,1227156.862,3109319,18,0,0,0,0,296,488,1.0222940759999999,1.703823459,0,34,11.76,12.63685087,159.69,0,0,0,1,0,0,0,0,1,12.25,11.77777778,12.53333333,296,0,0,0,0,0,0,9,106,15,188,29200,227,6,32,0,0,0,0,0,0
271,2,1,14,0,14,0,7,9.899494937,0,0,0,0,51660.51661,11070.1107,135.5,33.23401872,159,112,271,271,0,271,271,0,0,0,0,0,1,0,0,0,64,20,7380.0738010000005,3690.0369,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333332999999,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0
8993490,9,15,99,188,19,0,11,8.529361055,34,0,12.53333333,14.54975045,31.91197188,2.6685969519999997,391021.3043,1019335.318,3286350,3,6252411,781551.375,1449569.5890000004,3328990,230,8993403,642385.9286,1258770.08,3286350,3,0,0,0,0,296,488,1.000723857,1.667873095,0,34,11.48,12.41007655,154.01,0,0,0,1,0,0,0,0,1,11.95833333,11,12.53333333,296,0,0,0,0,0,0,9,99,15,188,29200,227,6,32,0,0,0,0,0,0
9445931,9,15,107,188,25,0,11.88888889,9.636447017,34,0,12.53333333,14.54975045,31.23037846,2.540776552,410692.6522,1065694.678,3286568,3,6117526,764690.75,1409392.196,3174198,4,9445775,674698.2143,1315354.262,3286568,3,0,0,0,0,296,488,0.9527912070000001,1.587985345,0,34,11.8,12.67214794,160.58333330000005,0,0,0,1,0,0,0,0,1,12.29166667,11.88888889,12.53333333,296,0,0,0,0,0,0,9,107,15,188,29200,227,6,32,0,0,0,0,0,0
246,2,1,14,0,14,0,7,9.899494937,0,0,0,0,56910.569110000004,12195.12195,123,7.071067812000001,128,118,246,246,0,246,246,0,0,0,0,0,1,0,0,0,64,20,8130.081301,4065.04065,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333332999999,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0
3,2,0,14,0,14,0,7,9.899494937,0,0,0,0,4666666.666999999,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,64,0,666666.6667,0,0,14,9.333333332999999,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14,7,0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0,0,0,0,0,0
9490509,9,15,104,188,24,0,11.55555556,9.248122933,34,0,12.53333333,14.54975045,30.76758054,2.528842236,412630.8261,1073907.022,3306025,31,6142044,767755.5,1421405.539,3197656,240,9490465,677890.3571,1325919.239,3306025,48,0,0,0,0,296,488,0.948315838,1.5805263969999999,0,34,11.68,12.57550529,158.14333330000005,0,0,0,1,0,0,0,0,1,12.16666667,11.55555556,12.53333333,296,0,0,0,0,0,0,9,104,15,188,29200,227,6,32,0,0,0,0,0,0
9585360,9,15,105,188,25,0,11.66666667,9.420721841,34,0,12.53333333,14.54975045,30.56744869,2.503818323,416754.7826,1062995.027,3163547,3,6502001,812750.125,1456633.245,3205316,42,9585280,684662.8571,1309479.495,3163547,3,0,0,0,0,296,488,0.938931871,1.5648864519999999,0,34,11.72,12.61784451,159.21,0,0,0,1,0,0,0,0,1,12.20833333,11.66666667,12.53333333,296,0,0,0,0,0,0,9,105,15,188,29200,227,6,32,0,0,0,0,0,0
8381214,9,15,100,188,23,0,11.11111111,8.823894328,34,0,12.53333333,14.54975045,34.3625637,2.863546975,364400.6087,958525.2456,3071018,3,5268801,658600.125,1242656.203,3094380,3,8381095,598649.6429,1184836.3159999999,3071018,3,0,0,0,0,296,488,1.073830116,1.78971686,0,34,11.52,12.47704559,155.6766667,0,0,0,1,0,0,0,0,1,12,11.11111111,12.53333333,296,0,0,0,0,0,0,9,100,15,188,29200,227,6,32,0,0,0,0,0,0
8383522,9,15,106,188,26,0,11.77777778,9.601793814,34,0,12.53333333,14.54975045,35.06879328,2.862758635,364500.9565,958635.7306,3072038,3,5271058,658882.25,1243019.8329999999,3094877,49,8383404,598814.5714,1184952.283,3072038,3,0,0,0,0,296,488,1.073534488,1.7892241469999999,0,34,11.76,12.66320128,160.35666669999995,0,0,0,1,0,0,0,0,1,12.25,11.77777778,12.53333333,296,0,0,0,0,0,0,9,106,15,188,29200,227,6,32,0,0,0,0,0,0
4,2,0,14,0,14,0,7,9.899494937,0,0,0,0,3500000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,1,0,0,0,64,0,500000,0,0,14,9.333333332999999,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14,7,0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0,0,0,0,0,0
4,2,0,14,0,14,0,7,9.899494937,0,0,0,0,3500000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,1,0,0,0,64,0,500000,0,0,14,9.333333332999999,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14,7,0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0,0,0,0,0,0
9208230,9,15,101,188,23,0,11.22222222,8.941165721,34,0,12.53333333,14.54975045,31.38496758,2.60636409,400357.8261,1048344.642,3500936,3,6175125,771890.625,1448229.804,3545452,4,9208131,657723.6429,1295224.999,3500936,3,0,0,0,0,296,488,0.9773865340000001,1.628977556,0,34,11.56,12.50359948,156.34,0,0,0,1,0,0,0,0,1,12.04166667,11.22222222,12.53333333,296,0,0,0,0,0,0,9,101,15,188,29200,227,6,32,0,0,0,0,0,0
